Count: 457

Sunkern (Grass, BST 180) — SPECIES_SUNKERN
Combusken (Fire/Fighting, BST 405) — SPECIES_COMBUSKEN
Croconaw (Water, BST 405) — SPECIES_CROCONAW
Grotle (Grass, BST 405) — SPECIES_GROTLE
Grovyle (Grass, BST 405) — SPECIES_GROVYLE
Haunter (Ghost/Poison, BST 405) — SPECIES_HAUNTER
Ivysaur (Grass/Poison, BST 405) — SPECIES_IVYSAUR
Machoke (Fighting, BST 405) — SPECIES_MACHOKE
Marshtomp (Water/Ground, BST 405) — SPECIES_MARSHTOMP
Minun (Electric, BST 405) — SPECIES_MINUN
Monferno (Fire/Fighting, BST 405) — SPECIES_MONFERNO
Murkrow (Dark/Flying, BST 405) — SPECIES_MURKROW
Pachirisu (Electric, BST 405) — SPECIES_PACHIRISU
Parasect (Bug/Grass, BST 405) — SPECIES_PARASECT
Plusle (Electric, BST 405) — SPECIES_PLUSLE
Prinplup (Water, BST 405) — SPECIES_PRINPLUP
Quilava (Fire, BST 405) — SPECIES_QUILAVA
Togetic (Togepi_Family_Type/Flying, BST 405) — SPECIES_TOGETIC
Wartortle (Water, BST 405) — SPECIES_WARTORTLE
Wobbuffet (Psychic, BST 405) — SPECIES_WOBBUFFET
Bibarel (Normal/Water, BST 410) — SPECIES_BIBAREL
Gabite (Dragon/Ground, BST 410) — SPECIES_GABITE
Medicham (Fighting/Psychic, BST 410) — SPECIES_MEDICHAM
Ponyta (Fire, BST 410) — SPECIES_PONYTA
Pupitar (Rock/Ground, BST 410) — SPECIES_PUPITAR
Sealeo (Ice/Water, BST 410) — SPECIES_SEALEO
Sudowoodo (Rock, BST 410) — SPECIES_SUDOWOODO
Chatot (Normal/Flying, BST 411) — SPECIES_CHATOT
Dewott (Water, BST 413) — SPECIES_DEWOTT
Raticate (Normal, BST 413) — SPECIES_RATICATE
Servine (Grass, BST 413) — SPECIES_SERVINE
Dunsparce (Normal, BST 415) — SPECIES_DUNSPARCE
Furret (Normal, BST 415) — SPECIES_FURRET
Pignite (Fire/Fighting, BST 418) — SPECIES_PIGNITE
Azumarill (Water/Fairy, BST 420) — SPECIES_AZUMARILL
Dragonair (Dragon, BST 420) — SPECIES_DRAGONAIR
Linoone (Normal, BST 420) — SPECIES_LINOONE
Metang (Steel/Psychic, BST 420) — SPECIES_METANG
Mightyena (Dark, BST 420) — SPECIES_MIGHTYENA
Shelgon (Dragon, BST 420) — SPECIES_SHELGON
Watchog (Normal, BST 420) — SPECIES_WATCHOG
Dugtrio (Ground, BST 425) — SPECIES_DUGTRIO
Marowak (Ground, BST 425) — SPECIES_MAROWAK
Sunflora (Grass, BST 425) — SPECIES_SUNFLORA
Gligar (Ground/Flying, BST 430) — SPECIES_GLIGAR
Illumise (Bug, BST 430) — SPECIES_ILLUMISE
Lairon (Steel/Rock, BST 430) — SPECIES_LAIRON
Magcargo (Fire/Rock, BST 430) — SPECIES_MAGCARGO
Quagsire (Water/Ground, BST 430) — SPECIES_QUAGSIRE
Sneasel (Dark/Ice, BST 430) — SPECIES_SNEASEL
Volbeat (Bug, BST 430) — SPECIES_VOLBEAT
Misdreavus (Ghost, BST 435) — SPECIES_MISDREAVUS
Tangela (Grass, BST 435) — SPECIES_TANGELA
Kecleon (Normal, BST 440) — SPECIES_KECLEON
Pelipper (Water/Flying, BST 440) — SPECIES_PELIPPER
Persian (Normal, BST 440) — SPECIES_PERSIAN
Qwilfish (Water/Poison, BST 440) — SPECIES_QWILFISH
Rotom (Electric/Ghost, BST 440) — SPECIES_ROTOM
Seadra (Water, BST 440) — SPECIES_SEADRA
Vigoroth (Normal, BST 440) — SPECIES_VIGOROTH
Fearow (Normal/Flying, BST 442) — SPECIES_FEAROW
Liepard (Dark, BST 446) — SPECIES_LIEPARD
Arbok (Poison, BST 448) — SPECIES_ARBOK
Chansey (Normal, BST 450) — SPECIES_CHANSEY
Granbull (Fairy, BST 450) — SPECIES_GRANBULL
Piloswine (Ice/Ground, BST 450) — SPECIES_PILOSWINE
Sandslash (Ground, BST 450) — SPECIES_SANDSLASH
Seaking (Water, BST 450) — SPECIES_SEAKING
Venomoth (Bug/Poison, BST 450) — SPECIES_VENOMOTH
Noctowl (Normal/Flying, BST 452) — SPECIES_NOCTOWL
Purugly (Normal, BST 452) — SPECIES_PURUGLY
Carnivine (Grass, BST 454) — SPECIES_CARNIVINE
Masquerain (Bug/Flying, BST 454) — SPECIES_MASQUERAIN
Banette (Ghost, BST 455) — SPECIES_BANETTE
Chimecho (Psychic, BST 455) — SPECIES_CHIMECHO
Dusclops (Ghost, BST 455) — SPECIES_DUSCLOPS
Girafarig (Normal/Psychic, BST 455) — SPECIES_GIRAFARIG
Golbat (Poison/Flying, BST 455) — SPECIES_GOLBAT
Hitmonchan (Fighting, BST 455) — SPECIES_HITMONCHAN
Hitmonlee (Fighting, BST 455) — SPECIES_HITMONLEE
Hitmontop (Fighting, BST 455) — SPECIES_HITMONTOP
Jynx (Ice/Psychic, BST 455) — SPECIES_JYNX
Primeape (Fighting, BST 455) — SPECIES_PRIMEAPE
Swellow (Normal/Flying, BST 455) — SPECIES_SWELLOW
Ninjask (Bug/Flying, BST 456) — SPECIES_NINJASK
Seviper (Poison, BST 458) — SPECIES_SEVIPER
Zangoose (Normal, BST 458) — SPECIES_ZANGOOSE
Breloom (Grass/Fighting, BST 460) — SPECIES_BRELOOM
Camerupt (Fire/Ground, BST 460) — SPECIES_CAMERUPT
Jumpluff (Grass/Flying, BST 460) — SPECIES_JUMPLUFF
Lanturn (Water/Electric, BST 460) — SPECIES_LANTURN
Lumineon (Water, BST 460) — SPECIES_LUMINEON
Lunatone (Rock/Psychic, BST 460) — SPECIES_LUNATONE
Sharpedo (Water/Dark, BST 460) — SPECIES_SHARPEDO
Solrock (Rock/Psychic, BST 460) — SPECIES_SOLROCK
Tropius (Grass/Flying, BST 460) — SPECIES_TROPIUS
Absol (Dark, BST 465) — SPECIES_ABSOL
Forretress (Bug/Steel, BST 465) — SPECIES_FORRETRESS
Magneton (Electric/Steel, BST 465) — SPECIES_MAGNETON
Skarmory (Steel/Flying, BST 465) — SPECIES_SKARMORY
Stantler (Normal, BST 465) — SPECIES_STANTLER
Swalot (Poison, BST 467) — SPECIES_SWALOT
Crawdaunt (Water/Dark, BST 468) — SPECIES_CRAWDAUNT
Whiscash (Water/Ground, BST 468) — SPECIES_WHISCASH
Dodrio (Normal/Flying, BST 470) — SPECIES_DODRIO
Grumpig (Psychic, BST 470) — SPECIES_GRUMPIG
Torkoal (Fire, BST 470) — SPECIES_TORKOAL
Xatu (Psychic/Flying, BST 470) — SPECIES_XATU
Hariyama (Fighting, BST 474) — SPECIES_HARIYAMA
Vespiquen (Bug/Flying, BST 474) — SPECIES_VESPIQUEN
Cacturne (Grass/Dark, BST 475) — SPECIES_CACTURNE
Dewgong (Water/Ice, BST 475) — SPECIES_DEWGONG
Kingler (Water, BST 475) — SPECIES_KINGLER
Manectric (Electric, BST 475) — SPECIES_MANECTRIC
Skuntank (Poison/Dark, BST 479) — SPECIES_SKUNTANK
Froslass (Ice/Ghost, BST 480) — SPECIES_FROSLASS
Glalie (Ice, BST 480) — SPECIES_GLALIE
Lopunny (Normal, BST 480) — SPECIES_LOPUNNY
Ludicolo (Water/Grass, BST 480) — SPECIES_LUDICOLO
Octillery (Water, BST 480) — SPECIES_OCTILLERY
Phione (Water, BST 480) — SPECIES_PHIONE
Shiftry (Grass/Dark, BST 480) — SPECIES_SHIFTRY
Ambipom (Normal, BST 482) — SPECIES_AMBIPOM
Clefable (BST 483) — SPECIES_CLEFABLE
Hypno (Psychic, BST 483) — SPECIES_HYPNO
Gorebyss (Water, BST 485) — SPECIES_GOREBYSS
Huntail (Water, BST 485) — SPECIES_HUNTAIL
Mantine (Water/Flying, BST 485) — SPECIES_MANTINE
Relicanth (Water/Rock, BST 485) — SPECIES_RELICANTH
Rhydon (Ground/Rock, BST 485) — SPECIES_RHYDON
Spiritomb (Ghost/Dark, BST 485) — SPECIES_SPIRITOMB
Staraptor (Normal/Flying, BST 485) — SPECIES_STARAPTOR
Musharna (Psychic, BST 487) — SPECIES_MUSHARNA
Unfezant (Normal/Flying, BST 488) — SPECIES_UNFEZANT
Altaria (Dragon/Flying, BST 490) — SPECIES_ALTARIA
Bellossom (Grass, BST 490) — SPECIES_BELLOSSOM
Electabuzz (Electric, BST 490) — SPECIES_ELECTABUZZ
Electrode (Electric, BST 490) — SPECIES_ELECTRODE
Exploud (Normal, BST 490) — SPECIES_EXPLOUD
Kangaskhan (Normal, BST 490) — SPECIES_KANGASKHAN
Miltank (Normal, BST 490) — SPECIES_MILTANK
Slowbro (Water/Psychic, BST 490) — SPECIES_SLOWBRO
Slowking (Water/Psychic, BST 490) — SPECIES_SLOWKING
Tauros (Normal, BST 490) — SPECIES_TAUROS
Toxicroak (Poison/Fighting, BST 490) — SPECIES_TOXICROAK
Vileplume (Grass/Poison, BST 490) — SPECIES_VILEPLUME
Weezing (Poison, BST 490) — SPECIES_WEEZING
Abomasnow (Grass/Ice, BST 494) — SPECIES_ABOMASNOW
Armaldo (Rock/Bug, BST 495) — SPECIES_ARMALDO
Bastiodon (Rock/Steel, BST 495) — SPECIES_BASTIODON
Cradily (Rock/Grass, BST 495) — SPECIES_CRADILY
Floatzel (Water, BST 495) — SPECIES_FLOATZEL
Kabutops (Rock/Water, BST 495) — SPECIES_KABUTOPS
Magmar (Fire, BST 495) — SPECIES_MAGMAR
Mismagius (Ghost, BST 495) — SPECIES_MISMAGIUS
Omastar (Rock/Water, BST 495) — SPECIES_OMASTAR
Rampardos (Rock, BST 495) — SPECIES_RAMPARDOS
Drifblim (Ghost/Flying, BST 498) — SPECIES_DRIFBLIM
Simipour (Water, BST 498) — SPECIES_SIMIPOUR
Simisage (Grass, BST 498) — SPECIES_SIMISAGE
Simisear (Fire, BST 498) — SPECIES_SIMISEAR
Bronzong (Steel/Psychic, BST 500) — SPECIES_BRONZONG
Claydol (Ground/Psychic, BST 500) — SPECIES_CLAYDOL
Donphan (Ground, BST 500) — SPECIES_DONPHAN
Drapion (Poison/Dark, BST 500) — SPECIES_DRAPION
Gengar (Ghost/Poison, BST 500) — SPECIES_GENGAR
Golduck (Water, BST 500) — SPECIES_GOLDUCK
Heracross (Bug/Fighting, BST 500) — SPECIES_HERACROSS
Houndoom (Dark/Fire, BST 500) — SPECIES_HOUNDOOM
Muk (Poison, BST 500) — SPECIES_MUK
Pinsir (Bug, BST 500) — SPECIES_PINSIR
Politoed (Water, BST 500) — SPECIES_POLITOED
Rapidash (Fire, BST 500) — SPECIES_RAPIDASH
Scizor (Bug/Steel, BST 500) — SPECIES_SCIZOR
Scyther (Bug/Flying, BST 500) — SPECIES_SCYTHER
Stoutland (Normal, BST 500) — SPECIES_STOUTLAND
Ursaring (Normal, BST 500) — SPECIES_URSARING
Wailord (Water, BST 500) — SPECIES_WAILORD
Honchkrow (Dark/Flying, BST 505) — SPECIES_HONCHKROW
Machamp (Fighting, BST 505) — SPECIES_MACHAMP
Nidoking (Poison/Ground, BST 505) — SPECIES_NIDOKING
Nidoqueen (Poison/Ground, BST 505) — SPECIES_NIDOQUEEN
Ninetales (Fire, BST 505) — SPECIES_NINETALES
Shuckle (Bug/Rock, BST 505) — SPECIES_SHUCKLE
Gliscor (Ground/Flying, BST 510) — SPECIES_GLISCOR
Poliwrath (Water/Fighting, BST 510) — SPECIES_POLIWRATH
Steelix (Steel/Ground, BST 510) — SPECIES_STEELIX
Weavile (Dark/Ice, BST 510) — SPECIES_WEAVILE
Aerodactyl (Rock/Flying, BST 515) — SPECIES_AERODACTYL
Lickilicky (Normal, BST 515) — SPECIES_LICKILICKY
Porygon2 (Normal, BST 515) — SPECIES_PORYGON2
Roserade (Grass/Poison, BST 515) — SPECIES_ROSERADE
Tentacruel (Water/Poison, BST 515) — SPECIES_TENTACRUEL
Yanmega (Bug/Flying, BST 515) — SPECIES_YANMEGA
Gallade (Psychic/Fighting, BST 518) — SPECIES_GALLADE
Gardevoir (Psychic/Ralts_Family_Type2, BST 518) — SPECIES_GARDEVOIR
Flygon (Ground/Dragon, BST 520) — SPECIES_FLYGON
Starmie (Water/Psychic, BST 520) — SPECIES_STARMIE
Luxray (Electric, BST 523) — SPECIES_LUXRAY
Cloyster (Water/Ice, BST 525) — SPECIES_CLOYSTER
Dusknoir (Ghost, BST 525) — SPECIES_DUSKNOIR
Espeon (Psychic, BST 525) — SPECIES_ESPEON
Flareon (Fire, BST 525) — SPECIES_FLAREON
Glaceon (Ice, BST 525) — SPECIES_GLACEON
Hippowdon (Ground, BST 525) — SPECIES_HIPPOWDON
Jolteon (Electric, BST 525) — SPECIES_JOLTEON
Leafeon (Grass, BST 525) — SPECIES_LEAFEON
Lucario (Fighting/Steel, BST 525) — SPECIES_LUCARIO
Meganium (Grass, BST 525) — SPECIES_MEGANIUM
Probopass (Rock/Steel, BST 525) — SPECIES_PROBOPASS
Torterra (Grass/Ground, BST 525) — SPECIES_TORTERRA
Umbreon (Dark, BST 525) — SPECIES_UMBREON
Vaporeon (Water, BST 525) — SPECIES_VAPOREON
Venusaur (Grass/Poison, BST 525) — SPECIES_VENUSAUR
Emboar (Fire/Fighting, BST 528) — SPECIES_EMBOAR
Samurott (Water, BST 528) — SPECIES_SAMUROTT
Serperior (Grass, BST 528) — SPECIES_SERPERIOR
Aggron (Steel/Rock, BST 530) — SPECIES_AGGRON
Blastoise (Water, BST 530) — SPECIES_BLASTOISE
Blaziken (Fire/Fighting, BST 530) — SPECIES_BLAZIKEN
Empoleon (Water/Steel, BST 530) — SPECIES_EMPOLEON
Feraligatr (Water, BST 530) — SPECIES_FERALIGATR
Mamoswine (Ice/Ground, BST 530) — SPECIES_MAMOSWINE
Sceptile (Grass, BST 530) — SPECIES_SCEPTILE
Walrein (Ice/Water, BST 530) — SPECIES_WALREIN
Charizard (Fire/Flying, BST 534) — SPECIES_CHARIZARD
Infernape (Fire/Fighting, BST 534) — SPECIES_INFERNAPE
Typhlosion (Fire, BST 534) — SPECIES_TYPHLOSION
Crobat (Poison/Flying, BST 535) — SPECIES_CROBAT
Lapras (Water/Ice, BST 535) — SPECIES_LAPRAS
Magnezone (Electric/Steel, BST 535) — SPECIES_MAGNEZONE
Rhyperior (Ground/Rock, BST 535) — SPECIES_RHYPERIOR
Swampert (Water/Ground, BST 535) — SPECIES_SWAMPERT
Tangrowth (Grass, BST 535) — SPECIES_TANGROWTH
Blissey (Normal, BST 540) — SPECIES_BLISSEY
Electivire (Electric, BST 540) — SPECIES_ELECTIVIRE
Gyarados (Water/Flying, BST 540) — SPECIES_GYARADOS
Kingdra (Water/Dragon, BST 540) — SPECIES_KINGDRA
Magmortar (Fire, BST 540) — SPECIES_MAGMORTAR
Milotic (Water, BST 540) — SPECIES_MILOTIC
Snorlax (Normal, BST 540) — SPECIES_SNORLAX
Togekiss (Togepi_Family_Type/Flying, BST 545) — SPECIES_TOGEKISS
Arcanine (Fire, BST 555) — SPECIES_ARCANINE
Garchomp (Dragon/Ground, BST 600) — SPECIES_GARCHOMP
Manaphy (Water, BST 600) — SPECIES_MANAPHY
Tyranitar (Rock/Dark, BST 600) — SPECIES_TYRANITAR
Slaking (Normal, BST 670) — SPECIES_SLAKING
Alakazam (Psychic) — SPECIES_ALAKAZAM
Ampharos (Electric) — SPECIES_AMPHAROS
Beedrill (Bug/Poison) — SPECIES_BEEDRILL
Corsola (Water/Rock) — SPECIES_CORSOLA
Exeggutor (Grass/Psychic) — SPECIES_EXEGGUTOR
Farfetch'd (Normal/Flying) — SPECIES_FARFETCHD
Golem (Rock/Ground) — SPECIES_GOLEM
Pidgeot (Normal/Flying) — SPECIES_PIDGEOT
Raichu (Electric) — SPECIES_RAICHU
Unown — SPECIES_UNOWN
Victreebel (Grass/Poison) — SPECIES_VICTREEBEL
