Gen 1-5 Pokémon lijst
SPECIES_CACNEA — BST 335
SPECIES_TENTACOOL — BST 335
SPECIES_KOFFING — BST 340
SPECIES_LOMBRE — BST 340
SPECIES_NUZLEAF — BST 340
SPECIES_SKIPLOOM — BST 340
SPECIES_STARAVIA — BST 340
SPECIES_STARYU — BST 340
SPECIES_VIBRAVA — BST 340
SPECIES_CLAMPERL — BST 345
SPECIES_MANTYKE — BST 345
SPECIES_RHYHORN — BST 345
SPECIES_DRIFLOON — BST 348
SPECIES_PIDGEOTTO — BST 349
SPECIES_BUNEARY — BST 350
SPECIES_CRANIDOS — BST 350
SPECIES_GROWLITHE — BST 350
SPECIES_SHIELDON — BST 350
SPECIES_ANORITH — BST 355
SPECIES_KABUTO — BST 355
SPECIES_LILEEP — BST 355
SPECIES_OMANYTE — BST 355
SPECIES_TRANQUILL — BST 358
SPECIES_AIPOM — BST 360
SPECIES_ELEKID — BST 360
SPECIES_LOUDRED — BST 360
SPECIES_SPINDA — BST 360
SPECIES_LUXIO — BST 363
SPECIES_FLAAFFY — BST 365
SPECIES_MAGBY — BST 365
SPECIES_NIDORINA — BST 365
SPECIES_NIDORINO — BST 365
SPECIES_HERDIER — BST 370
SPECIES_NOSEPASS — BST 375
SPECIES_MAWILE — BST 380
SPECIES_SABLEYE — BST 380
SPECIES_KRICKETUNE — BST 384
SPECIES_DUSTOX — BST 385
SPECIES_LICKITUNG — BST 385
SPECIES_ONIX — BST 385
SPECIES_POLIWHIRL — BST 385
SPECIES_GRAVELER — BST 390
SPECIES_LEDIAN — BST 390
SPECIES_MUNCHLAX — BST 390
SPECIES_WEEPINBELL — BST 390
SPECIES_YANMA — BST 390
SPECIES_BEAUTIFLY — BST 395
SPECIES_BUTTERFREE — BST 395
SPECIES_GLOOM — BST 395
SPECIES_PORYGON — BST 395
SPECIES_ARIADOS — BST 400
SPECIES_DELCATTY — BST 400
SPECIES_KADABRA — BST 400
SPECIES_ROSELIA — BST 400
SPECIES_WAILMER — BST 400
SPECIES_BAYLEEF — BST 405
SPECIES_CHARMELEON — BST 405
SPECIES_COMBUSKEN — BST 405
SPECIES_CROCONAW — BST 405
SPECIES_GROTLE — BST 405
SPECIES_GROVYLE — BST 405
SPECIES_HAUNTER — BST 405
SPECIES_IVYSAUR — BST 405
SPECIES_MACHOKE — BST 405
SPECIES_MARSHTOMP — BST 405
SPECIES_MINUN — BST 405
SPECIES_MONFERNO — BST 405
SPECIES_MURKROW — BST 405
SPECIES_PACHIRISU — BST 405
SPECIES_PARASECT — BST 405
SPECIES_PLUSLE — BST 405
SPECIES_PRINPLUP — BST 405
SPECIES_QUILAVA — BST 405
SPECIES_TOGETIC — BST 405
SPECIES_WARTORTLE — BST 405
SPECIES_WOBBUFFET — BST 405
SPECIES_BIBAREL — BST 410
SPECIES_GABITE — BST 410
SPECIES_MEDICHAM — BST 410
SPECIES_PONYTA — BST 410
SPECIES_PUPITAR — BST 410
SPECIES_SEALEO — BST 410
SPECIES_SUDOWOODO — BST 410
SPECIES_CHATOT — BST 411
SPECIES_DEWOTT — BST 413
SPECIES_RATICATE — BST 413
SPECIES_SERVINE — BST 413
SPECIES_DUNSPARCE — BST 415
SPECIES_FURRET — BST 415
SPECIES_PIGNITE — BST 418
SPECIES_AZUMARILL — BST 420
SPECIES_DRAGONAIR — BST 420
SPECIES_LINOONE — BST 420
SPECIES_METANG — BST 420
SPECIES_MIGHTYENA — BST 420
SPECIES_SHELGON — BST 420
SPECIES_WATCHOG — BST 420
SPECIES_DUGTRIO — BST 425
SPECIES_MAROWAK — BST 425
SPECIES_SUNFLORA — BST 425
SPECIES_GLIGAR — BST 430
SPECIES_ILLUMISE — BST 430
SPECIES_LAIRON — BST 430
SPECIES_MAGCARGO — BST 430
SPECIES_QUAGSIRE — BST 430
SPECIES_SNEASEL — BST 430
SPECIES_VOLBEAT — BST 430
SPECIES_MISDREAVUS — BST 435
SPECIES_TANGELA — BST 435
SPECIES_KECLEON — BST 440
SPECIES_PELIPPER — BST 440
SPECIES_PERSIAN — BST 440
SPECIES_QWILFISH — BST 440
SPECIES_ROTOM — BST 440
SPECIES_SEADRA — BST 440
SPECIES_VIGOROTH — BST 440
SPECIES_FEAROW — BST 442
SPECIES_LIEPARD — BST 446
SPECIES_ARBOK — BST 448
SPECIES_CHANSEY — BST 450
SPECIES_GRANBULL — BST 450
SPECIES_PILOSWINE — BST 450
SPECIES_SANDSLASH — BST 450
SPECIES_SEAKING — BST 450
SPECIES_VENOMOTH — BST 450
SPECIES_NOCTOWL — BST 452
SPECIES_PURUGLY — BST 452
SPECIES_CARNIVINE — BST 454
SPECIES_MASQUERAIN — BST 454
SPECIES_BANETTE — BST 455
SPECIES_CHIMECHO — BST 455
SPECIES_DUSCLOPS — BST 455
SPECIES_GIRAFARIG — BST 455
SPECIES_GOLBAT — BST 455
SPECIES_HITMONCHAN — BST 455
SPECIES_HITMONLEE — BST 455
SPECIES_HITMONTOP — BST 455
SPECIES_JYNX — BST 455
SPECIES_PRIMEAPE — BST 455
SPECIES_SWELLOW — BST 455
SPECIES_NINJASK — BST 456
SPECIES_SEVIPER — BST 458
SPECIES_ZANGOOSE — BST 458
SPECIES_BRELOOM — BST 460
SPECIES_CAMERUPT — BST 460
SPECIES_JUMPLUFF — BST 460
SPECIES_LANTURN — BST 460
SPECIES_LUMINEON — BST 460
SPECIES_LUNATONE — BST 460
SPECIES_SHARPEDO — BST 460
SPECIES_SOLROCK — BST 460
SPECIES_TROPIUS — BST 460
SPECIES_ABSOL — BST 465
SPECIES_FORRETRESS — BST 465
SPECIES_MAGNETON — BST 465
SPECIES_SKARMORY — BST 465
SPECIES_STANTLER — BST 465
SPECIES_SWALOT — BST 467
SPECIES_CRAWDAUNT — BST 468
SPECIES_WHISCASH — BST 468
SPECIES_DODRIO — BST 470
SPECIES_GRUMPIG — BST 470
SPECIES_TORKOAL — BST 470
SPECIES_XATU — BST 470
SPECIES_HARIYAMA — BST 474
SPECIES_VESPIQUEN — BST 474
SPECIES_CACTURNE — BST 475
SPECIES_DEWGONG — BST 475
SPECIES_KINGLER — BST 475
SPECIES_MANECTRIC — BST 475
SPECIES_SKUNTANK — BST 479
SPECIES_FROSLASS — BST 480
SPECIES_GLALIE — BST 480
SPECIES_LOPUNNY — BST 480
SPECIES_LUDICOLO — BST 480
SPECIES_OCTILLERY — BST 480
SPECIES_PHIONE — BST 480
SPECIES_SHIFTRY — BST 480
SPECIES_AMBIPOM — BST 482
SPECIES_CLEFABLE — BST 483
SPECIES_HYPNO — BST 483
SPECIES_GOREBYSS — BST 485
SPECIES_HUNTAIL — BST 485
SPECIES_MANTINE — BST 485
SPECIES_RELICANTH — BST 485
SPECIES_RHYDON — BST 485
SPECIES_SPIRITOMB — BST 485
SPECIES_STARAPTOR — BST 485
SPECIES_MUSHARNA — BST 487
SPECIES_UNFEZANT — BST 488
SPECIES_ALTARIA — BST 490
SPECIES_BELLOSSOM — BST 490
SPECIES_ELECTABUZZ — BST 490
SPECIES_ELECTRODE — BST 490
SPECIES_EXPLOUD — BST 490
SPECIES_KANGASKHAN — BST 490
SPECIES_MILTANK — BST 490
SPECIES_SLOWBRO — BST 490
SPECIES_SLOWKING — BST 490
SPECIES_TAUROS — BST 490
SPECIES_TOXICROAK — BST 490
SPECIES_VILEPLUME — BST 490
SPECIES_WEEZING — BST 490
SPECIES_ABOMASNOW — BST 494
SPECIES_ARMALDO — BST 495
SPECIES_BASTIODON — BST 495
SPECIES_CRADILY — BST 495
SPECIES_FLOATZEL — BST 495
SPECIES_KABUTOPS — BST 495
SPECIES_MAGMAR — BST 495
SPECIES_MISMAGIUS — BST 495
SPECIES_OMASTAR — BST 495
SPECIES_RAMPARDOS — BST 495
SPECIES_DRIFBLIM — BST 498
SPECIES_SIMIPOUR — BST 498
SPECIES_SIMISAGE — BST 498
SPECIES_SIMISEAR — BST 498
SPECIES_BRONZONG — BST 500
SPECIES_CLAYDOL — BST 500
SPECIES_DONPHAN — BST 500
SPECIES_DRAPION — BST 500
SPECIES_GENGAR — BST 500
SPECIES_GOLDUCK — BST 500
SPECIES_HERACROSS — BST 500
SPECIES_HOUNDOOM — BST 500
SPECIES_MUK — BST 500
SPECIES_PINSIR — BST 500
SPECIES_POLITOED — BST 500
SPECIES_RAPIDASH — BST 500
SPECIES_SCIZOR — BST 500
SPECIES_SCYTHER — BST 500
SPECIES_STOUTLAND — BST 500
SPECIES_URSARING — BST 500
SPECIES_WAILORD — BST 500
SPECIES_HONCHKROW — BST 505
SPECIES_MACHAMP — BST 505
SPECIES_NIDOKING — BST 505
SPECIES_NIDOQUEEN — BST 505
SPECIES_NINETALES — BST 505
SPECIES_SHUCKLE — BST 505
SPECIES_GLISCOR — BST 510
SPECIES_POLIWRATH — BST 510
SPECIES_STEELIX — BST 510
SPECIES_WEAVILE — BST 510
SPECIES_AERODACTYL — BST 515
SPECIES_LICKILICKY — BST 515
SPECIES_PORYGON2 — BST 515
SPECIES_ROSERADE — BST 515
SPECIES_TENTACRUEL — BST 515
SPECIES_YANMEGA — BST 515
SPECIES_GALLADE — BST 518
SPECIES_GARDEVOIR — BST 518
SPECIES_FLYGON — BST 520
SPECIES_STARMIE — BST 520
SPECIES_LUXRAY — BST 523
SPECIES_CLOYSTER — BST 525
SPECIES_DUSKNOIR — BST 525
SPECIES_ESPEON — BST 525
SPECIES_FLAREON — BST 525
SPECIES_GLACEON — BST 525
SPECIES_HIPPOWDON — BST 525
SPECIES_JOLTEON — BST 525
SPECIES_LEAFEON — BST 525
SPECIES_LUCARIO — BST 525
SPECIES_MEGANIUM — BST 525
SPECIES_PROBOPASS — BST 525
SPECIES_TORTERRA — BST 525
SPECIES_UMBREON — BST 525
SPECIES_VAPOREON — BST 525
SPECIES_VENUSAUR — BST 525
SPECIES_EMBOAR — BST 528
SPECIES_SAMUROTT — BST 528
SPECIES_SERPERIOR — BST 528
SPECIES_AGGRON — BST 530
SPECIES_BLASTOISE — BST 530
SPECIES_BLAZIKEN — BST 530
SPECIES_EMPOLEON — BST 530
SPECIES_FERALIGATR — BST 530
SPECIES_MAMOSWINE — BST 530
SPECIES_SCEPTILE — BST 530
SPECIES_WALREIN — BST 530
SPECIES_CHARIZARD — BST 534
SPECIES_INFERNAPE — BST 534
SPECIES_TYPHLOSION — BST 534
SPECIES_CROBAT — BST 535
SPECIES_LAPRAS — BST 535
SPECIES_MAGNEZONE — BST 535
SPECIES_RHYPERIOR — BST 535
SPECIES_SWAMPERT — BST 535
SPECIES_TANGROWTH — BST 535
SPECIES_BLISSEY — BST 540
SPECIES_ELECTIVIRE — BST 540
SPECIES_GYARADOS — BST 540
SPECIES_KINGDRA — BST 540
SPECIES_MAGMORTAR — BST 540
SPECIES_MILOTIC — BST 540
SPECIES_SNORLAX — BST 540
SPECIES_TOGEKISS — BST 545
SPECIES_ARCANINE — BST 555
SPECIES_ARTICUNO — BST 580
SPECIES_AZELF — BST 580
SPECIES_CRESSELIA — BST 580
SPECIES_ENTEI — BST 580
SPECIES_MESPRIT — BST 580
SPECIES_MOLTRES — BST 580
SPECIES_RAIKOU — BST 580
SPECIES_REGICE — BST 580
SPECIES_REGIROCK — BST 580
SPECIES_REGISTEEL — BST 580
SPECIES_SUICUNE — BST 580
SPECIES_UXIE — BST 580
SPECIES_ZAPDOS — BST 580
SPECIES_CELEBI — BST 600
SPECIES_DARKRAI — BST 600
SPECIES_DRAGONITE — BST 600
SPECIES_GARCHOMP — BST 600
SPECIES_HEATRAN — BST 600
SPECIES_JIRACHI — BST 600
SPECIES_LATIAS — BST 600
SPECIES_LATIOS — BST 600
SPECIES_MANAPHY — BST 600
SPECIES_METAGROSS — BST 600
SPECIES_MEW — BST 600
SPECIES_SALAMENCE — BST 600
SPECIES_TYRANITAR — BST 600
SPECIES_VICTINI — BST 600
SPECIES_GROUDON — BST 670
SPECIES_KYOGRE — BST 670
SPECIES_REGIGIGAS — BST 670
SPECIES_SLAKING — BST 670
SPECIES_DIALGA — BST 680
SPECIES_LUGIA — BST 680
SPECIES_MEWTWO — BST 680
SPECIES_PALKIA — BST 680
SPECIES_RAYQUAZA — BST 680
SPECIES_ALAKAZAM
SPECIES_AMPHAROS
SPECIES_BEEDRILL
SPECIES_CORSOLA
SPECIES_EXEGGUTOR
SPECIES_FARFETCHD
SPECIES_GOLEM
SPECIES_PIDGEOT
SPECIES_RAICHU
SPECIES_UNOWN
SPECIES_VICTREEBEL
SPECIES_WIGGLYTUFF
